#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"viral segment Unknown","NC_001623.1",503,1009,"+",1403833,"Ac-ptp","ACNVgp001","NP_054030.1",168,"protein tyrosine phosphatase"
"viral segment Unknown","NC_001623.1",1041,2027,"-",1403834,"Ac-bro","ACNVgp002","NP_054031.1",328,"baculovirus repeated ORF"
"viral segment Unknown","NC_001623.1",2084,2245,"-",1403835,"Ac-ctx","ACNVgp003","NP_054032.1",53,"conotoxin-like peptide"
"viral segment Unknown","NC_001623.1",2295,2750,"-",1403836,"AcOrf-4","ACNVgp004","NP_054033.1",151,"AcOrf-4 peptide"
"viral segment Unknown","NC_001623.1",2779,3108,"+",1403837,"AcOrf-5","ACNVgp005","NP_054034.1",109,"AcOrf-5 peptide"
"viral segment Unknown","NC_001623.1",3089,3721,"+",1403838,"Ac-lef2","ACNVgp006","NP_054035.1",210,"late expression factor 2"
"viral segment Unknown","NC_001623.1",3759,4364,"-",1403839,"Ac-ORF603","ACNVgp007","NP_054036.1",201,"hypothetical protein ACNVgp007"
"viral segment Unknown","NC_001623.1",4520,5257,"+",1403840,"Ac-PH","ACNVgp008","NP_054037.1",245,"major occlusion body protein"
"viral segment Unknown","NC_001623.1",5287,6918,"-",1403841,"Ac-ORF1629","ACNVgp009","NP_054038.1",543,"viral capsid associated protein"
"viral segment Unknown","NC_001623.1",6917,7735,"+",1403842,"Ac-pk-1","ACNVgp010","NP_054039.1",272,"protein kinase"
"viral segment Unknown","NC_001623.1",7899,8921,"-",1403843,"AcOrf-11","ACNVgp011","NP_054040.1",340,"AcOrf-11 peptide"
"viral segment Unknown","NC_001623.1",8958,9611,"+",1403844,"AcOrf-12","ACNVgp012","NP_054041.1",217,"AcOrf-12 peptide"
"viral segment Unknown","NC_001623.1",9638,10621,"-",1403845,"AcOrf-13","ACNVgp013","NP_054042.1",327,"AcOrf-13 peptide"
"viral segment Unknown","NC_001623.1",10513,11313,"-",1403846,"Ac-lef1","ACNVgp014","NP_054043.1",266,"late expression factor 1"
"viral segment Unknown","NC_001623.1",11426,12946,"+",1403847,"Ac-egt","ACNVgp015","NP_054044.1",506,"ecdysteroid UDP-glucosyl transferase"
"viral segment Unknown","NC_001623.1",13092,13769,"+",1403848,"AcOrf-16","ACNVgp016","NP_054045.1",225,"AcOrf-16 peptide"
"viral segment Unknown","NC_001623.1",13738,14232,"+",1403849,"AcOrf-17","ACNVgp017","NP_054046.1",164,"AcOrf-17 peptide"
"viral segment Unknown","NC_001623.1",14398,15459,"-",1403850,"AcOrf-18","ACNVgp018","NP_054047.1",353,"AcOrf-18 peptide"
"viral segment Unknown","NC_001623.1",15461,15787,"+",1403851,"AcOrf-19","ACNVgp019","NP_054048.1",108,"AcOrf-19 peptide"
"viral segment Unknown","NC_001623.1",16013,16222,"-",1403852,"AcOrf-20","ACNVgp020","NP_054049.1",69,"actin rearrangement inducing factor"
"viral segment Unknown","NC_001623.1",16305,17264,"-",1403853,"AcOrf-21","ACNVgp021","NP_054050.1",319,"actin rearrangement inducing factor"
"viral segment Unknown","NC_001623.1",17301,18449,"+",1403854,"AcOrf-22","ACNVgp022","NP_054051.1",382,"AcOrf-22 peptide"
"viral segment Unknown","NC_001623.1",18513,20585,"+",1403855,"Ac-env-prot","ACNVgp023","NP_054052.1",690,"copia-like envelope protein"
"viral segment Unknown","NC_001623.1",20634,21143,"-",1403856,"Ac-pkip","ACNVgp024","NP_054053.1",169,"protein kinase interacting protein"
"viral segment Unknown","NC_001623.1",21183,22133,"-",1403857,"AcOrf-25","ACNVgp025","NP_054054.1",316,"ssDNA binding protein"
"viral segment Unknown","NC_001623.1",22209,22598,"+",1403858,"AcOrf-26","ACNVgp026","NP_054055.1",129,"AcOrf-26 peptide"
"viral segment Unknown","NC_001623.1",22600,23460,"+",1403859,"Ac-IAP1","ACNVgp027","NP_054056.1",286,"apoptosis inhibitor"
"viral segment Unknown","NC_001623.1",23465,23986,"+",1403860,"Ac-lef6","ACNVgp028","NP_054057.1",173,"late expression factor 6"
"viral segment Unknown","NC_001623.1",24046,24261,"-",1403861,"AcOrf-29","ACNVgp029","NP_054058.1",71,"AcOrf-29 peptide"
"viral segment Unknown","NC_001623.1",24315,25706,"-",1403862,"AcOrf-30","ACNVgp030","NP_054059.1",463,"AcOrf-30 peptide"
"viral segment Unknown","NC_001623.1",25820,26275,"+",1403863,"Ac-sod","ACNVgp031","NP_054060.1",151,"superoxide dismutase"
"viral segment Unknown","NC_001623.1",27041,27586,"-",1403864,"Ac-fgf","ACNVgp032","NP_054061.1",181,"fibroblast growth factor"
"viral segment Unknown","NC_001623.1",27733,28281,"-",1403865,"Ac-HisP","ACNVgp033","NP_054062.1",182,"putative histidinol-phosphatase"
"viral segment Unknown","NC_001623.1",28294,28941,"-",1403866,"AcOrf-34","ACNVgp034","NP_054063.1",215,"AcOrf-34 peptide"
"viral segment Unknown","NC_001623.1",28962,29195,"+",1403867,"Ac-v-ubi","ACNVgp035","NP_054064.1",77,"viral ubiquitin"
"viral segment Unknown","NC_001623.1",29242,30069,"-",1403868,"Ac-39K/pp31","ACNVgp036","NP_054065.1",275,"nuclear matrix associated phosphoprotein"
"viral segment Unknown","NC_001623.1",30063,30401,"-",1403869,"Ac-lef11","ACNVgp037","NP_054066.1",112,"late expression factor 11"
"viral segment Unknown","NC_001623.1",30364,31014,"-",1403870,"AcOrf-38","ACNVgp038","NP_054067.1",216,"AcOrf-38 peptide"
"viral segment Unknown","NC_001623.1",31078,32169,"-",1403871,"Ac-p43","ACNVgp039","NP_054068.1",363,"hypothetical protein ACNVgp039"
"viral segment Unknown","NC_001623.1",32177,33382,"-",1403872,"Ac-p47","ACNVgp040","NP_054069.1",401,"transcription regulator"
"viral segment Unknown","NC_001623.1",33381,33926,"+",1403873,"AcOrf-41","ACNVgp041","NP_054070.1",181,"AcOrf-41 peptide"
"viral segment Unknown","NC_001623.1",34010,35530,"+",1403874,"Ac-GTA","ACNVgp042","NP_054071.1",506,"global transactivator-like protein"
"viral segment Unknown","NC_001623.1",35544,35777,"+",1403875,"AcOrf-43","ACNVgp043","NP_054072.1",77,"AcOrf-43 peptide"
"viral segment Unknown","NC_001623.1",35758,36153,"+",1403876,"AcOrf-44","ACNVgp044","NP_054073.1",131,"AcOrf-44 peptide"
"viral segment Unknown","NC_001623.1",36155,36733,"+",1403877,"AcOrf-45","ACNVgp045","NP_054074.1",192,"AcOrf-45 peptide"
"viral segment Unknown","NC_001623.1",36718,38832,"+",1403878,"Ac-odv-e66","ACNVgp046","NP_054075.1",704,"occlusion-derived virus envelope protein"
"viral segment Unknown","NC_001623.1",38938,39204,"-",1403879,"AcOrf-47","ACNVgp047","NP_054076.1",88,"AcOrf-47 peptide"
"viral segment Unknown","NC_001623.1",39278,39619,"-",1403880,"AcOrf-48","ACNVgp048","NP_054077.1",113,"AcOrf-48 peptide"
"viral segment Unknown","NC_001623.1",39643,40413,"-",1403881,"Ac-pcna","ACNVgp049","NP_054078.1",256,"proliferating cell nuclear antigen"
"viral segment Unknown","NC_001623.1",40523,43153,"-",1403882,"Ac-lef8","ACNVgp050","NP_054079.1",876,"late expression factor 8"
"viral segment Unknown","NC_001623.1",43180,44136,"+",1403883,"AcOrf-51","ACNVgp051","NP_054080.1",318,"AcOrf-51 peptide"
"viral segment Unknown","NC_001623.1",44339,44710,"-",1403884,"AcOrf-52","ACNVgp052","NP_054081.1",123,"AcOrf-52 peptide"
"viral segment Unknown","NC_001623.1",44712,45131,"+",1403885,"AcOrf-53","ACNVgp053","NP_054082.1",139,"AcOrf-53 peptide"
"viral segment Unknown","NC_001623.1",45128,45364,"+",1403886,"Ac-lef10","ACNVgp054","NP_054083.1",78,"late expression factor 10"
"viral segment Unknown","NC_001623.1",45222,46319,"+",1403887,"AcOrf-54","ACNVgp055","NP_054084.1",365,"viral capsid associated protein"
"viral segment Unknown","NC_001623.1",46411,46632,"+",1403888,"AcOrf-55","ACNVgp056","NP_054085.1",73,"AcOrf-55 peptide"
"viral segment Unknown","NC_001623.1",46634,46888,"+",1403889,"AcOrf-56","ACNVgp057","NP_054086.1",84,"AcOrf-56 peptide"
"viral segment Unknown","NC_001623.1",47073,47558,"+",1403890,"AcOrf-57","ACNVgp058","NP_054087.1",161,"AcOrf-57 peptide"
"viral segment Unknown","NC_001623.1",47574,47747,"-",1403891,"AcOrf-58","ACNVgp059","NP_054088.1",57,"AcOrf-58 peptide"
"viral segment Unknown","NC_001623.1",47882,48091,"-",1403892,"AcOrf-59","ACNVgp060","NP_054089.1",69,"AcOrf-59 peptide"
"viral segment Unknown","NC_001623.1",48103,48366,"-",1403893,"AcOrf-60","ACNVgp061","NP_054090.1",87,"AcOrf-60 peptide"
"viral segment Unknown","NC_001623.1",48513,49157,"-",1403894,"Ac-FP","ACNVgp062","NP_054091.1",214,"FP protein"
"viral segment Unknown","NC_001623.1",49184,50734,"+",1403895,"Ac-lef9","ACNVgp063","NP_054092.1",516,"late expression factor 9"
"viral segment Unknown","NC_001623.1",50795,51262,"+",1403896,"AcOrf-63","ACNVgp064","NP_054093.1",155,"AcOrf-63 peptide"
"viral segment Unknown","NC_001623.1",51283,52191,"-",1403897,"Ac-gp37","ACNVgp065","NP_054094.1",302,"fusolin; spindle body protein"
"viral segment Unknown","NC_001623.1",52329,55283,"-",1403898,"Ac-DNA-pol","ACNVgp066","NP_054095.1",984,"DNA-dependant DNA-polymerase"
"viral segment Unknown","NC_001623.1",55292,57718,"+",1403899,"AcOrf-66","ACNVgp067","NP_054096.1",808,"AcOrf-66 peptide"
"viral segment Unknown","NC_001623.1",57721,58878,"-",1403900,"Ac-lef3","ACNVgp068","NP_054097.1",385,"late expression factor 3"
"viral segment Unknown","NC_001623.1",58720,59298,"+",1403901,"AcOrf-68","ACNVgp069","NP_054098.1",192,"AcOrf-68 peptide"
"viral segment Unknown","NC_001623.1",59276,60064,"+",1403902,"AcOrf-69","ACNVgp070","NP_054099.1",262,"putative methyl transferase"
"viral segment Unknown","NC_001623.1",60110,60982,"+",1403903,"AcOrf-70","ACNVgp071","NP_054100.1",290,"AcOrf-70 peptide"
