#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"viral segment Unknown","NC_002816.1",1,747,"+",921402,"orf1 granulin","CpGVgp001","NP_148785.1",248,"ORF1 granulin"
"viral segment Unknown","NC_002816.1",749,1273,"-",921411,"orf2","CpGVgp002","NP_148786.1",174,"ORF2 similar to XcGV ORF2"
"viral segment Unknown","NC_002816.1",1254,2093,"+",921412,"orf3 pk-1","CpGVgp003","NP_148787.1",279,"ORF3 PK-1"
"viral segment Unknown","NC_002816.1",2173,2739,"-",921421,"orf4","CpGVgp004","NP_148788.1",188,"ORF4 similar to XcGV ORF7"
"viral segment Unknown","NC_002816.1",2729,2971,"+",921426,"orf5","CpGVgp005","NP_148789.1",80,"ORF5 similar to XcGV ORF8"
"viral segment Unknown","NC_002816.1",3122,3340,"+",921459,"orf6","CpGVgp006","NP_148790.1",72,"ORF6"
"viral segment Unknown","NC_002816.1",3392,4858,"-",921465,"orf7 ie-1","CpGVgp007","NP_148791.1",488,"ORF7 IE-1"
"viral segment Unknown","NC_002816.1",4964,5542,"+",921470,"orf8","CpGVgp008","NP_148792.1",192,"ORF8 similar to AcMNPV ORF146"
"viral segment Unknown","NC_002816.1",5582,5887,"-",921490,"orf9","CpGVgp009","NP_148793.1",101,"ORF9 similar to AcMNPV ORF145"
"viral segment Unknown","NC_002816.1",6028,7812,"-",921365,"orf10 chitinase","CpGVgp010","NP_148794.1",594,"ORF10 chitinase"
"viral segment Unknown","NC_002816.1",7935,8936,"+",921370,"orf11 cathepsin","CpGVgp011","NP_148795.1",333,"ORF11 cathepsin"
"viral segment Unknown","NC_002816.1",9016,9249,"+",921366,"orf12","CpGVgp012","NP_148796.1",77,"ORF12"
"viral segment Unknown","NC_002816.1",9320,10075,"-",921373,"orf13 gp37","CpGVgp013","NP_148797.1",251,"ORF13 GP37"
"viral segment Unknown","NC_002816.1",10148,10402,"-",921378,"orf14 odv-e18","CpGVgp014","NP_148798.1",84,"ORF14 ODV-E18"
"viral segment Unknown","NC_002816.1",10403,11776,"-",921418,"orf15 p49","CpGVgp015","NP_148799.1",457,"ORF15 P49"
"viral segment Unknown","NC_002816.1",12147,12737,"-",921380,"orf16","CpGVgp016","NP_148800.1",196,"ORF16 similar to OpMNPV ORF31"
"viral segment Unknown","NC_002816.1",12867,13694,"+",921387,"orf17 iap-3","CpGVgp017","NP_148801.1",275,"ORF17 IAP-3"
"viral segment Unknown","NC_002816.1",13732,14799,"-",921349,"orf18 odv-e56","CpGVgp018","NP_148802.1",355,"ORF18 ODV-E56"
"viral segment Unknown","NC_002816.1",15173,15400,"+",921354,"orf19","CpGVgp019","NP_148803.1",75,"ORF19 similar to AcMNPV ORF29"
"viral segment Unknown","NC_002816.1",15460,16167,"-",921364,"orf20","CpGVgp020","NP_148804.1",235,"ORF20 similar to XcGV ORF17"
"viral segment Unknown","NC_002816.1",16436,16615,"-",921352,"orf21","CpGVgp021","NP_148805.1",59,"ORF21"
"viral segment Unknown","NC_002816.1",16838,17881,"+",921466,"orf22","CpGVgp022","NP_148806.1",347,"ORF22 similar to XcGV ORF19"
"viral segment Unknown","NC_002816.1",17972,18430,"+",921467,"orf23","CpGVgp023","NP_148807.1",152,"ORF23 similar to XcGV ORF18"
"viral segment Unknown","NC_002816.1",18574,19722,"-",921457,"orf24 pe-38","CpGVgp024","NP_148808.1",382,"ORF24 PE-38"
"viral segment Unknown","NC_002816.1",20168,20332,"-",921461,"orf25","CpGVgp025","NP_148809.1",54,"ORF25"
"viral segment Unknown","NC_002816.1",20331,20693,"+",921450,"orf26","CpGVgp026","NP_148810.1",120,"ORF26"
"viral segment Unknown","NC_002816.1",20612,21826,"-",921454,"orf27","CpGVgp027","NP_148811.1",404,"ORF27"
"viral segment Unknown","NC_002816.1",22687,22920,"+",921443,"orf28","CpGVgp028","NP_148812.1",77,"ORF28"
"viral segment Unknown","NC_002816.1",23135,24049,"+",921449,"orf29","CpGVgp029","NP_148813.1",304,"ORF29 similar to XcGV ORF25"
"viral segment Unknown","NC_002816.1",24637,25182,"+",921438,"orf30","CpGVgp030","NP_148814.1",181,"ORF30 similar to XcGV ORF26"
"viral segment Unknown","NC_002816.1",25313,27118,"+",921430,"orf31","CpGVgp031","NP_148815.1",601,"ORF31 similar to AcMNPV ORF23"
"viral segment Unknown","NC_002816.1",27331,28671,"+",921448,"orf32","CpGVgp032","NP_148816.1",446,"ORF32"
"viral segment Unknown","NC_002816.1",28743,29627,"-",921441,"orf33","CpGVgp033","NP_148817.1",294,"ORF33 similar to XcGV ORF29"
"viral segment Unknown","NC_002816.1",29670,30359,"-",921362,"orf34","CpGVgp034","NP_148818.1",229,"ORF34 similar to XcGV ORF30 and ORF31"
"viral segment Unknown","NC_002816.1",30253,30852,"+",921360,"orf35","CpGVgp035","NP_148819.1",199,"ORF35 similar to AcMNPV ORF115"
"viral segment Unknown","NC_002816.1",30925,31167,"-",921359,"orf36","CpGVgp036","NP_148820.1",80,"ORF36"
"viral segment Unknown","NC_002816.1",31210,33261,"-",921357,"orf37 odv-e66","CpGVgp037","NP_148821.1",683,"ORF37 ODV-E66"
"viral segment Unknown","NC_002816.1",33050,33391,"-",921356,"orf38","CpGVgp038","NP_148822.1",113,"ORF38 similar to XcGV ORF33"
"viral segment Unknown","NC_002816.1",33480,33797,"+",921355,"orf39","CpGVgp039","NP_148823.1",105,"ORF39 similar to XcGV ORF34"
"viral segment Unknown","NC_002816.1",33850,34179,"-",921419,"orf40","CpGVgp040","NP_148824.1",109,"ORF40"
"viral segment Unknown","NC_002816.1",34320,34835,"+",921434,"orf41 lef-2","CpGVgp041","NP_148825.1",171,"ORF41 LEF-2"
"viral segment Unknown","NC_002816.1",34927,35175,"+",921406,"orf42","CpGVgp042","NP_148826.1",82,"ORF42 similar to XcGV ORF36"
"viral segment Unknown","NC_002816.1",35222,35566,"-",921442,"orf43","CpGVgp043","NP_148827.1",114,"ORF43"
"viral segment Unknown","NC_002816.1",35631,36254,"-",921445,"orf44","CpGVgp044","NP_148828.1",207,"ORF44"
"viral segment Unknown","NC_002816.1",36313,36777,"-",921405,"orf45","CpGVgp045","NP_148829.1",154,"ORF45 similar to XcGV ORF39"
"viral segment Unknown","NC_002816.1",36835,38472,"-",921404,"orf46 metalloproteinase","CpGVgp046","NP_148830.1",545,"ORF46 metalloproteinase"
"viral segment Unknown","NC_002816.1",38479,39288,"+",921413,"orf47 p13","CpGVgp047","NP_148831.1",269,"ORF47 P13"
"viral segment Unknown","NC_002816.1",39332,40450,"+",921386,"orf48","CpGVgp048","NP_148832.1",372,"ORF48 similar to AcMNPV ORF22"
"viral segment Unknown","NC_002816.1",40447,40836,"-",921385,"orf49","CpGVgp049","NP_148833.1",129,"ORF49 similar to XcGV ORF46"
"viral segment Unknown","NC_002816.1",40772,42955,"+",921384,"orf50","CpGVgp050","NP_148834.1",727,"ORF50 similar to XcGV ORF47"
"viral segment Unknown","NC_002816.1",43372,44010,"+",921383,"orf51","CpGVgp051","NP_148835.1",212,"ORF51"
"viral segment Unknown","NC_002816.1",43695,44723,"-",921468,"orf52","CpGVgp052","NP_148836.1",342,"ORF52 similar to AcMNPV ORF106 and ORF107"
"viral segment Unknown","NC_002816.1",44830,44976,"+",921350,"orf53","CpGVgp053","NP_148837.1",48,"ORF53 similar to AcMNPV ORF110"
"viral segment Unknown","NC_002816.1",45052,45336,"-",921351,"orf54 ubi","CpGVgp054","NP_148838.1",94,"ORF54 UBI"
"viral segment Unknown","NC_002816.1",45415,46395,"+",921397,"orf55","CpGVgp055","NP_148839.1",326,"ORF55 similar to AcMNPV ORF109"
"viral segment Unknown","NC_002816.1",46485,46694,"+",921435,"orf56","CpGVgp056","NP_148840.1",69,"ORF56 similar to XcGV ORF54"
"viral segment Unknown","NC_002816.1",46771,47496,"-",921489,"orf57 39K","CpGVgp057","NP_148841.1",241,"ORF57 39K"
"viral segment Unknown","NC_002816.1",47447,47851,"-",921432,"orf58 lef-11","CpGVgp058","NP_148842.1",134,"ORF58 LEF-11"
"viral segment Unknown","NC_002816.1",47806,48204,"-",921371,"orf59 sod","CpGVgp059","NP_148843.1",132,"ORF59 SOD"
"viral segment Unknown","NC_002816.1",48578,50644,"-",921369,"orf60 p74","CpGVgp060","NP_148844.1",688,"ORF60 P74"
"viral segment Unknown","NC_002816.1",50863,51075,"-",921381,"orf61","CpGVgp061","NP_148845.1",70,"ORF61"
"viral segment Unknown","NC_002816.1",51047,51616,"-",921372,"orf62","CpGVgp062","NP_148846.1",189,"ORF62 similar to PxGV ORF50"
"viral segment Unknown","NC_002816.1",51754,51921,"+",921367,"orf63 bro","CpGVgp063","NP_148847.1",55,"ORF63 BRO"
"viral segment Unknown","NC_002816.1",52634,53326,"+",921363,"orf64","CpGVgp064","NP_148848.1",230,"ORF64 similar to XcGV ORF66"
"viral segment Unknown","NC_002816.1",53424,53663,"-",921368,"orf65","CpGVgp065","NP_148849.1",79,"ORF65 similar to AcMNPV ORF79"
"viral segment Unknown","NC_002816.1",53818,54039,"+",921391,"orf66 ptp-2","CpGVgp066","NP_148850.1",73,"ORF66 PTP-2"
"viral segment Unknown","NC_002816.1",54114,54377,"-",921390,"orf67","CpGVgp067","NP_148851.1",87,"ORF67"
"viral segment Unknown","NC_002816.1",54349,55731,"+",921394,"orf68 p47","CpGVgp068","NP_148852.1",460,"ORF68 P47"
"viral segment Unknown","NC_002816.1",55770,56432,"+",921392,"orf69","CpGVgp069","NP_148853.1",220,"ORF69 similar to AcMNPV ORF38"
"viral segment Unknown","NC_002816.1",56506,57060,"-",921399,"orf70","CpGVgp070","NP_148854.1",184,"ORF70"
"viral segment Unknown","NC_002816.1",57130,57741,"+",921396,"orf71 p24capsid","CpGVgp071","NP_148855.1",203,"ORF71 P24capsid"
"viral segment Unknown","NC_002816.1",57780,58124,"-",921395,"orf72","CpGVgp072","NP_148856.1",114,"ORF72"
"viral segment Unknown","NC_002816.1",58315,58911,"-",921388,"orf73 38.7kd","CpGVgp073","NP_148857.1",198,"ORF73 38.7KD"
"viral segment Unknown","NC_002816.1",58892,59599,"-",921382,"orf74 lef-1","CpGVgp074","NP_148858.1",235,"ORF74 LEF-1"
"viral segment Unknown","NC_002816.1",59725,61341,"+",921389,"orf75","CpGVgp075","NP_148859.1",538,"ORF75 similar to AcMNPV ORF119"
"viral segment Unknown","NC_002816.1",61590,62177,"-",921485,"orf76","CpGVgp076","NP_148860.1",195,"ORF76 similar to XcGV ORF85"
"viral segment Unknown","NC_002816.1",62245,62556,"-",921451,"orf77","CpGVgp077","NP_148861.1",103,"ORF77 similar to XcGV ORF86"
"viral segment Unknown","NC_002816.1",62565,62792,"-",921452,"orf78","CpGVgp078","NP_148862.1",75,"ORF78"
