#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"viral segment Unknown","NC_003084.1",68,1849,"-",921895,"CUN001","CnbVgp001","NP_203305.1",593,"CUN001 putative bro protein, ATP_GTP_A motif, similar to AcMNPV ORF 2"
"viral segment Unknown","NC_003084.1",2159,2830,"+",921852,"CUN002","CnbVgp002","NP_203306.1",223,"CUN002 hypothetical protein, ATP_GTP_A motif"
"viral segment Unknown","NC_003084.1",3139,3366,"-",921859,"CUN003","CnbVgp003","NP_203307.1",75,"CUN003 hypothetical protein"
"viral segment Unknown","NC_003084.1",4144,5016,"-",921856,"CUN004","CnbVgp004","NP_203308.1",290,"CUN004 bro-like protein"
"viral segment Unknown","NC_003084.1",5343,7085,"-",921857,"CUN005","CnbVgp005","NP_203309.1",580,"CUN005 putative bro protein, similar to AcMNPV ORF2"
"viral segment Unknown","NC_003084.1",7351,7986,"-",921953,"CUN007","CnbVgp006","NP_203310.1",211,"CUN007 hypothetical protein"
"viral segment Unknown","NC_003084.1",7359,7664,"-",921860,"CUN006","CnbVgp007","NP_203311.1",101,"CUN006 hypothetical protein"
"viral segment Unknown","NC_003084.1",7976,8965,"-",921861,"CUN008","CnbVgp008","NP_203312.1",329,"CUN008 putative vp1054 virion associated assembly protein, similar to AcMNPV ORF54"
"viral segment Unknown","NC_003084.1",8811,9053,"-",921862,"CUN009","CnbVgp009","NP_203313.1",80,"CUN009 hypothetical protein"
"viral segment Unknown","NC_003084.1",9054,9260,"+",921906,"CUN010","CnbVgp010","NP_203314.1",68,"CUN010 hypothetical protein"
"viral segment Unknown","NC_003084.1",9261,10901,"+",921864,"CUN011","CnbVgp011","NP_203315.1",546,"CUN011 hypothetical protein"
"viral segment Unknown","NC_003084.1",10919,11632,"+",921865,"CUN012","CnbVgp012","NP_203316.1",237,"CUN012 hypothetical protein"
"viral segment Unknown","NC_003084.1",11776,12888,"-",921868,"CUN014","CnbVgp013","NP_203317.1",370,"CUN014 similar to AcMNPV ORF92"
"viral segment Unknown","NC_003084.1",12743,13186,"+",921866,"CUN013","CnbVgp014","NP_203318.1",147,"CUN013 hypothetical protein"
"viral segment Unknown","NC_003084.1",13193,13891,"+",921870,"CUN015","CnbVgp015","NP_203319.1",232,"CUN015 hypothetical protein"
"viral segment Unknown","NC_003084.1",13891,14280,"+",921872,"CUN016","CnbVgp016","NP_203320.1",129,"CUN016 hypothetical protein"
"viral segment Unknown","NC_003084.1",14344,14829,"-",921917,"CUN017","CnbVgp017","NP_203321.1",161,"CUN017 hypothetical protein"
"viral segment Unknown","NC_003084.1",14847,15923,"+",921875,"CUN018","CnbVgp018","NP_203322.1",358,"CUN018 putative vlf-1 very late expression factor 1, similar to AcMNPV ORF77"
"viral segment Unknown","NC_003084.1",15940,16206,"+",921881,"CUN019","CnbVgp019","NP_203323.1",88,"CUN019 hypothetical protein"
"viral segment Unknown","NC_003084.1",16203,17000,"+",921885,"CUN020","CnbVgp020","NP_203324.1",265,"CUN020 hypothetical protein"
"viral segment Unknown","NC_003084.1",17019,17324,"+",921855,"CUN021","CnbVgp021","NP_203325.1",101,"CUN021 hypothetical protein"
"viral segment Unknown","NC_003084.1",17321,18469,"+",921886,"CUN022","CnbVgp022","NP_203326.1",382,"CUN022 hypothetical protein"
"viral segment Unknown","NC_003084.1",18476,18673,"+",921887,"CUN023","CnbVgp023","NP_203327.1",65,"CUN023 putative p6.9 SR repeat DNA binding protein, similar to AcMNPV ORF100"
"viral segment Unknown","NC_003084.1",19004,19873,"+",921889,"CUN024","CnbVgp024","NP_203328.1",289,"CUN024 putative p39 late capsid coat protein, similar to AcMNPV ORF89"
